Sorted Value,Time
0.0829,0.328
0.0829,0.312
0.0831,0.297
0.0832,0.313
0.0832,0.312
0.0832,0.313
0.0834,0.312
0.0836,0.313
0.0837,0.313
0.0836,0.312
0.0835,0.297
0.0837,0.313
0.0838,0.312
0.0838,0.312
